Comunidad;Provincia;Poblaci¢n;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
Castilla Le¢n;Burgos;Torregalindo;41,58224;-3,753572;837,1947;149;88;61
Castilla Le¢n;Burgos;Torrelara;42,16608;-3,516533;994,3602;24;15;9
Castilla Le¢n;Burgos;Torrepadre;42,04362;-3,936996;804,0082;86;53;33
Castilla Le¢n;Burgos;Torresandino;41,82946;-3,910012;855,1797;740;398;342
Castilla Le¢n;Burgos;T¢rtoles de Esgueva;41,81652;-4,020943;847,5756;506;262;244
Castilla Le¢n;Burgos;Tosantos;42,41386;-3,243547;821,4364;53;30;23
Castilla Le¢n;Burgos;Trespaderne;42,8019;-3,391455;553,7908;1131;607;524
Castilla Le¢n;Burgos;Tubilla del Agua;42,70913;-3,803644;765,2631;176;102;74
Castilla Le¢n;Burgos;Tubilla del Lago;41,80146;-3,586656;890,4365;154;90;64
Castilla Le¢n;Burgos;Èrbel del Castillo;42,62002;-3,843711;939,2537;96;58;38
Castilla Le¢n;Burgos;Vadocondes;41,63945;-3,573707;811,2837;415;224;191
Castilla Le¢n;Burgos;Valdeande;41,83434;-3,527793;953,6688;119;73;46
Castilla Le¢n;Burgos;Valdezate;41,60155;-3,930578;819,2969;155;80;75
Castilla Le¢n;Burgos;Valdorros;42,17222;-3,708914;902,2606;280;155;125
Castilla Le¢n;Burgos;Vallarta de Bureba;42,58826;-3,204902;716,6888;50;29;21
Castilla Le¢n;Burgos;Valle de las Navas;42,45806;-3,638333;880,0316;624;347;277
Castilla Le¢n;Burgos;Valle de Losa;42,98667;-3,219167;697,9474;622;368;254
Castilla Le¢n;Burgos;Valle de Manzanedo;42,89895;-3,690677;620,3103;131;69;62
Castilla Le¢n;Burgos;Valle de Mena;43,1;-3,283333;316,4509;3926;2008;1918
Castilla Le¢n;Burgos;Valle de Oca;42,43333;-3,316667;861,2545;192;108;84
Castilla Le¢n;Burgos;Valle de Santib†§ez;42,48272;-3,822472;956,8112;561;312;249
Castilla Le¢n;Burgos;Valle de Sedano;42,71544;-3,749611;758,8844;504;288;216
Castilla Le¢n;Burgos;Valle de Tobalina;42,792;-3,271;551,9635;1023;542;481
Castilla Le¢n;Burgos;Valle de Valdebezana;42,97055;-3,785833;837,9944;613;335;278
Castilla Le¢n;Burgos;Valle de Valdelaguna;42,11555;-3,145555;1153,362;207;128;79
Castilla Le¢n;Burgos;Valle de Valdelucio;42,71822;-4,092333;956,92;347;183;164
Castilla Le¢n;Burgos;Valle de Zamanzas;42,85333;-3,749722;732,0581;69;38;31
Castilla Le¢n;Burgos;Vallejera;42,18224;-4,151447;809,662;48;30;18
Castilla Le¢n;Burgos;Valles de Palenzuela;42,11949;-4,076557;800,1052;90;48;42
Castilla Le¢n;Burgos;ValluÇrcanes;42,57304;-3,119017;702,7288;90;53;37
Castilla Le¢n;Burgos;Valmala;42,30535;-3,25509;992,0233;32;16;16
Castilla Le¢n;Burgos;Vid de Bureba (La);42,63091;-3,300676;695,98;32;17;15
Castilla Le¢n;Burgos;Vid y Barrios (La);41,62967;-3,490485;821,0573;276;159;117
Castilla Le¢n;Burgos;Vile§a;42,62206;-3,323521;664,5483;33;20;13
Castilla Le¢n;Burgos;Villadiego;42,51575;-4,010096;839,8806;1764;954;810
Castilla Le¢n;Burgos;Villaescusa de Roa;41,72776;-4,016985;897,6312;153;85;68
Castilla Le¢n;Burgos;Villaescusa la Sombr°a;42,41518;-3,418952;905,8726;66;45;21
Castilla Le¢n;Burgos;Villaespasa;42,09895;-3,402259;960,8056;19;9;10
Castilla Le¢n;Burgos;Villafranca Montes de Oca;42,38651;-3,309347;957,1002;140;78;62
Castilla Le¢n;Burgos;Villafruela;41,91651;-3,913288;909,7965;236;136;100
Castilla Le¢n;Burgos;Villagalijo;42,34863;-3,191916;896,4912;76;49;27
Castilla Le¢n;Burgos;Villagonzalo Pedernales;42,30135;-3,736424;901,259;1529;825;704
Castilla Le¢n;Burgos;Villahoz;42,07693;-3,912524;825,1154;361;190;171
Castilla Le¢n;Burgos;Villalba de Duero;41,6824;-3,745252;812,4379;680;359;321
Castilla Le¢n;Burgos;Villalbilla de Burgos;42,34708;-3,779343;840,6373;946;523;423
Castilla Le¢n;Burgos;Villalbilla de Gumiel;41,80642;-3,626274;912,6685;110;68;42
Castilla Le¢n;Burgos;Villaldemiro;42,2471;-3,984738;808,5146;74;41;33
Castilla Le¢n;Burgos;Villalmanzo;42,04841;-3,741645;856,2233;431;224;207
Castilla Le¢n;Burgos;Villamayor de los Montes;42,10576;-3,766267;886,0144;212;109;103
Castilla Le¢n;Burgos;Villamayor de Trevi§o;42,4595;-4,119967;820,1368;101;56;45
Castilla Le¢n;Burgos;Villambistia;42,40631;-3,262168;853,298;54;31;23
Castilla Le¢n;Burgos;Villamedianilla;42,16063;-4,146362;799,8643;19;10;9
Castilla Le¢n;Burgos;Villamiel de la Sierra;42,19164;-3,41759;1149,774;35;20;15
Castilla Le¢n;Burgos;Villang¢mez;42,17881;-3,776208;845,0154;261;158;103
Castilla Le¢n;Burgos;Villanueva de Arga§o;42,3799;-3,93297;837,6054;117;70;47
Castilla Le¢n;Burgos;Villanueva de Carazo;41,98323;-3,324481;1059,717;35;19;16
Castilla Le¢n;Burgos;Villanueva de Gumiel;41,73724;-3,626348;844,9825;281;149;132
Castilla Le¢n;Burgos;Villanueva de Teba;42,64913;-3,162595;722,023;49;32;17
Castilla Le¢n;Burgos;Villaquir†n de la Puebla;42,2832;-4,101557;812,8803;52;29;23
Castilla Le¢n;Burgos;Villaquir†n de los Infantes;42,22715;-4,008459;814,3567;171;91;80
Castilla Le¢n;Burgos;Villarcayo de Merindad de Castilla la Vieja;42,9383;-3,572985;598,8633;4820;2542;2278
Castilla Le¢n;Burgos;Villariezo;42,26958;-3,733035;862,4636;512;290;222
Castilla Le¢n;Burgos;Villasandino;42,37226;-4,109077;792,2771;223;129;94
Castilla Le¢n;Burgos;Villasur de Herreros;42,30821;-3,395027;1030,04;290;163;127
Castilla Le¢n;Burgos;Villatuelda;41,81512;-3,882187;858,7932;52;31;21
Castilla Le¢n;Burgos;Villaverde-Mogina;42,1601;-4,050792;773,155;98;60;38
Castilla Le¢n;Burgos;Villaverde del Monte;42,16069;-3,814537;848,5208;169;96;73
Castilla Le¢n;Burgos;Villayerno Morquillas;42,39547;-3,639612;911,3355;215;126;89
Castilla Le¢n;Burgos;Villazopeque;42,19885;-4,016426;782,1231;68;41;27
Castilla Le¢n;Burgos;Villegas;42,46752;-4,017189;823;99;58;41
Castilla Le¢n;Burgos;Villoruebo;42,16848;-3,441567;1121,721;59;39;20
Castilla Le¢n;Burgos;Viloria de Rioja;42,42577;-3,100409;797,8878;50;28;22
Castilla Le¢n;Burgos;Vilviestre del Pinar;41,95218;-3,078111;1125,399;743;413;330
Castilla Le¢n;Burgos;Vizca°nos;42,10159;-3,267122;1025,813;49;31;18
Castilla Le¢n;Burgos;Zael;42,10968;-3,823925;843,672;117;62;55
Castilla Le¢n;Burgos;Zarzosa de R°o Pisuerga;42,53617;-4,268831;821,7172;38;24;14
Castilla Le¢n;Burgos;Zazuar;41,69591;-3,555112;839,9166;255;136;119
Castilla Le¢n;Burgos;Zu§eda;42,60449;-3,226378;719,7062;60;35;25
