Comunidad;Provincia;Poblaci¢n;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
Castilla Le¢n;Burgos;Castildelgado;42,43724;-3,084511;768,4348;59;30;29
Castilla Le¢n;Burgos;Castrillo de la Reina;41,98731;-3,237118;978,027;234;150;84
Castilla Le¢n;Burgos;Castrillo de la Vega;41,65073;-3,781646;808,438;677;360;317
Castilla Le¢n;Burgos;Castrillo de Riopisuerga;42,51493;-4,252292;816,8545;66;41;25
Castilla Le¢n;Burgos;Castrillo del Val;42,31421;-3,584872;942,9785;721;411;310
Castilla Le¢n;Burgos;Castrillo Matajud°os;42,31054;-4,173882;784,5024;63;32;31
Castilla Le¢n;Burgos;Castrojeriz;42,28828;-4,138836;816,0674;891;451;440
Castilla Le¢n;Burgos;Cavia;42,28385;-3,845257;815,5443;284;161;123
Castilla Le¢n;Burgos;Cayuela;42,27256;-3,819528;821,8987;171;93;78
Castilla Le¢n;Burgos;Cebrecos;41,9832;-3,596634;950,4548;55;33;22
Castilla Le¢n;Burgos;Celada del Camino;42,26265;-3,933845;796,4451;98;52;46
Castilla Le¢n;Burgos;Cerezo de R°o Tir¢n;42,49125;-3,135633;650,4071;653;355;298
Castilla Le¢n;Burgos;Cerrat¢n de Juarros;42,42218;-3,373947;959,26;59;37;22
Castilla Le¢n;Burgos;Ciadoncha;42,1606;-3,9348;789,7081;80;50;30
Castilla Le¢n;Burgos;Cillaperlata;42,78268;-3,358483;540,39;40;28;12
Castilla Le¢n;Burgos;Cilleruelo de Abajo;41,88422;-3,795598;915,1015;282;148;134
Castilla Le¢n;Burgos;Cilleruelo de Arriba;41,90474;-3,660519;966,1483;62;33;29
Castilla Le¢n;Burgos;Ciruelos de Cervera;41,90557;-3,530057;1019,25;119;66;53
Castilla Le¢n;Burgos;Cogollos;42,20072;-3,699386;887,1991;488;275;213
Castilla Le¢n;Burgos;Condado de Trevi§o;42,7349;-2,74691;561,0759;1432;826;606
Castilla Le¢n;Burgos;Contreras;42,02149;-3,410147;1023,346;97;59;38
Castilla Le¢n;Burgos;Coru§a del Conde;41,76587;-3,391761;907,8076;138;80;58
Castilla Le¢n;Burgos;Covarrubias;42,05919;-3,520237;895,1803;639;341;298
Castilla Le¢n;Burgos;Cubillo del Campo;42,16857;-3,610348;991,9786;102;55;47
Castilla Le¢n;Burgos;Cubo de Bureba;42,64042;-3,206735;685;116;66;50
Castilla Le¢n;Burgos;Cueva de Roa (La);41,66653;-3,939688;768,5865;112;60;52
Castilla Le¢n;Burgos;Cuevas de San Clemente;42,12992;-3,568581;1030,792;52;22;30
Castilla Le¢n;Burgos;Enc°o;42,66777;-3,084554;588,3317;45;27;18
Castilla Le¢n;Burgos;Espinosa de Cervera;41,89632;-3,468393;1030,725;107;64;43
Castilla Le¢n;Burgos;Espinosa de los Monteros;43,07687;-3,552301;753,3468;2129;1199;930
Castilla Le¢n;Burgos;Espinosa del Camino;42,40644;-3,281149;894,847;33;19;14
Castilla Le¢n;Burgos;EstÇpar;42,2767;-3,89849;810,9069;739;432;307
Castilla Le¢n;Burgos;Fontioso;41,94261;-3,739049;959,9049;64;33;31
Castilla Le¢n;Burgos;Frandov°nez;42,30937;-3,838241;823,8157;109;62;47
Castilla Le¢n;Burgos;Fresneda de la Sierra Tir¢n;42,31503;-3,13507;983,1557;125;80;45
Castilla Le¢n;Burgos;Fresne§a;42,41425;-3,134803;843,5111;107;55;52
Castilla Le¢n;Burgos;Fresnillo de las Due§as;41,64692;-3,644559;803,7737;460;245;215
Castilla Le¢n;Burgos;Fresno de R°o Tir¢n;42,4602;-3,17496;706,4641;200;115;85
Castilla Le¢n;Burgos;Fresno de Rodilla;42,42011;-3,485178;975,9765;47;31;16
Castilla Le¢n;Burgos;Fr°as;42,76148;-3,294353;552,6826;274;148;126
Castilla Le¢n;Burgos;Fuentebureba;42,63403;-3,234902;679,7742;53;25;28
Castilla Le¢n;Burgos;FuentecÇn;41,62859;-3,869621;823,7171;252;142;110
Castilla Le¢n;Burgos;FuentelcÇsped;41,59122;-3,640737;891,0616;198;100;98
Castilla Le¢n;Burgos;Fuentelisendo;41,6224;-3,901975;829,7731;100;61;39
Castilla Le¢n;Burgos;Fuentemolinos;41,60551;-3,849833;881,0905;104;64;40
Castilla Le¢n;Burgos;Fuentenebro;41,52533;-3,75369;917,0896;158;94;64
Castilla Le¢n;Burgos;Fuentespina;41,63168;-3,686191;824,6624;692;375;317
Castilla Le¢n;Burgos;Galbarros;42,5279;-3,437926;942,7526;28;22;6
Castilla Le¢n;Burgos;Gallega (La);41,89865;-3,26404;1113,472;72;41;31
Castilla Le¢n;Burgos;Grijalba;42,42995;-4,118997;813,0934;128;60;68
Castilla Le¢n;Burgos;Grisale§a;42,59092;-3,26404;743,1436;43;31;12
Castilla Le¢n;Burgos;Gumiel de Iz†n;41,7734;-3,688242;857,4003;643;365;278
Castilla Le¢n;Burgos;Gumiel de Mercado;41,75608;-3,802108;836,8545;413;226;187
Castilla Le¢n;Burgos;Hacinas;41,9852;-3,28705;999,0156;179;97;82
Castilla Le¢n;Burgos;Haza;41,62142;-3,829452;902,7407;33;19;14
Castilla Le¢n;Burgos;Hontanas;42,31303;-4,045938;864,0971;59;35;24
Castilla Le¢n;Burgos;Hontangas;41,58269;-3,796304;839,5234;123;76;47
Castilla Le¢n;Burgos;Hontoria de la Cantera;42,18913;-3,643586;942,0605;122;68;54
Castilla Le¢n;Burgos;Hontoria de Valdearados;41,74445;-3,520228;867,0024;237;153;84
Castilla Le¢n;Burgos;Hontoria del Pinar;41,8486;-3,162302;1059,013;798;452;346
Castilla Le¢n;Burgos;Hormazas (Las);42,515;-3,896111;1009,913;109;61;48
Castilla Le¢n;Burgos;Hornillos del Camino;42,33831;-3,925357;821,6969;63;35;28
Castilla Le¢n;Burgos;Horra (La);41,74088;-3,875266;807,9294;400;209;191
Castilla Le¢n;Burgos;HortigÅela;42,0681;-3,425503;937,3899;110;67;43
Castilla Le¢n;Burgos;Hoyales de Roa;41,65891;-3,862995;795,561;238;116;122
Castilla Le¢n;Burgos;HuÇrmeces;42,52169;-3,77164;886,0017;131;67;64
Castilla Le¢n;Burgos;Huerta de Arriba;42,11634;-3,082139;1206,336;150;84;66
Castilla Le¢n;Burgos;Huerta de Rey;41,83988;-3,349127;991,6105;1113;594;519
Castilla Le¢n;Burgos;Humada;42,66822;-4,083444;954,9947;153;97;56
Castilla Le¢n;Burgos;Hurones;42,40615;-3,613922;915,0182;79;49;30
Castilla Le¢n;Burgos;Ibeas de Juarros;42,33124;-3,535495;932,6844;1366;753;613
Castilla Le¢n;Burgos;Ibrillos;42,45407;-3,0831;739,1857;79;46;33
Castilla Le¢n;Burgos;Iglesiarrubia;41,97432;-3,846759;886,8805;53;30;23
Castilla Le¢n;Burgos;Iglesias;42,29795;-3,990041;850,6342;149;88;61
Castilla Le¢n;Burgos;Isar;42,36185;-3,930288;835,423;381;184;197
Castilla Le¢n;Burgos;Itero del Castillo;42,28941;-4,244414;775,8432;102;53;49
Castilla Le¢n;Burgos;Jaramillo de la Fuente;42,11487;-3,312734;1056,931;37;21;16
Castilla Le¢n;Burgos;Jaramillo Quemado;42,08483;-3,360913;975,7737;7;4;3
Castilla Le¢n;Burgos;Junta de Traslaloma;43,03695;-3,389445;674,0426;163;82;81
Castilla Le¢n;Burgos;Junta de Villalba de Losa;42,93537;-3,087131;665,9935;119;60;59
Castilla Le¢n;Burgos;Jurisdicci¢n de Lara;42,13472;-3,449722;991,6866;51;28;23
Castilla Le¢n;Burgos;Jurisdicci¢n de San Zadornil;42,84143;-3,157743;645,5733;93;48;45
Castilla Le¢n;Burgos;Lerma;42,02583;-3,75596;861,3351;2836;1396;1440
Castilla Le¢n;Burgos;Llano de Bureba;42,62436;-3,459093;643,2963;69;39;30
Castilla Le¢n;Burgos;Madrigal del Monte;42,14449;-3,675512;936,2405;188;111;77
Castilla Le¢n;Burgos;Madrigalejo del Monte;42,12458;-3,725459;893,5258;185;113;72
Castilla Le¢n;Burgos;Mahamud;42,11988;-3,94084;829,49;146;79;67
Castilla Le¢n;Burgos;Mambrilla de Castrej¢n;41,66708;-3,984727;825,6786;114;61;53
Castilla Le¢n;Burgos;Mambrillas de Lara;42,09437;-3,461727;991,4476;54;32;22
Castilla Le¢n;Burgos;Mamolar;41,92689;-3,361871;1087,678;41;23;18
Castilla Le¢n;Burgos;Manciles;42,4558;-3,944278;883,8896;31;19;12
Castilla Le¢n;Burgos;Mazuela;42,20672;-3,918213;823,2963;72;39;33
Castilla Le¢n;Burgos;Mecerreyes;42,0954;-3,573741;988,3194;276;145;131
Castilla Le¢n;Burgos;Medina de Pomar;42,92837;-3,487223;600,9326;6321;3339;2982
Castilla Le¢n;Burgos;Melgar de Fernamental;42,40352;-4,244519;804,4712;1866;998;868
Castilla Le¢n;Burgos;Merindad de Cuesta-Urria;42,9;-3,391667;914,2464;452;246;206
Castilla Le¢n;Burgos;Merindad de Montija;43,09207;-3,43402;739,4695;853;485;368
Castilla Le¢n;Burgos;Merindad de R°o Ubierna;42,61666;-3,65;965,3793;1406;781;625
Castilla Le¢n;Burgos;Merindad de Sotoscueva;43,05877;-3,642048;760,6615;495;282;213
Castilla Le¢n;Burgos;Merindad de Valdeporres;43,02056;-3,768611;754,3774;467;247;220
Castilla Le¢n;Burgos;Merindad de Valdivielso;42,82;-3,536;594,3845;442;249;193
Castilla Le¢n;Burgos;Milagros;41,57555;-3,699167;848,9799;501;273;228
Castilla Le¢n;Burgos;Miranda de Ebro;42,68734;-2,947593;465,1602;39264;19839;19425
Castilla Le¢n;Burgos;Miraveche;42,67471;-3,19961;804,4718;94;54;40
Castilla Le¢n;Burgos;Mod£bar de la Emparedada;42,26012;-3,659911;887,0018;472;266;206
Castilla Le¢n;Burgos;Monasterio de la Sierra;42,05131;-3,193589;1169,284;48;29;19
Castilla Le¢n;Burgos;Monasterio de Rodilla;42,45771;-3,468888;877,2269;200;111;89
Castilla Le¢n;Burgos;Moncalvillo;41,9552;-3,199341;1049,716;106;65;41
Castilla Le¢n;Burgos;Monterrubio de la Demanda;42,1481;-3,112634;1209,271;78;45;33
Castilla Le¢n;Burgos;Montorio;42,58467;-3,776581;945,1601;200;109;91
Castilla Le¢n;Burgos;Moradillo de Roa;41,55196;-3,791871;919,9839;193;105;88
Castilla Le¢n;Burgos;Nava de Roa;41,61383;-3,965231;785,074;248;129;119
Castilla Le¢n;Burgos;Navas de Bureba;42,68237;-3,32677;764,6017;44;20;24
Castilla Le¢n;Burgos;Nebreda;41,96859;-3,63392;916,8637;84;55;29
Castilla Le¢n;Burgos;Neila;42,05984;-2,997184;1180,486;204;112;92
Castilla Le¢n;Burgos;Olmedillo de Roa;41,78319;-3,934045;840,8633;206;112;94
Castilla Le¢n;Burgos;Olmillos de Mu§¢;42,20261;-3,940343;807,4762;45;26;19
Castilla Le¢n;Burgos;O§a;42,73478;-3,414072;585,5073;1256;650;606
Castilla Le¢n;Burgos;Oquillas;41,8317;-3,703652;913,3432;64;35;29
Castilla Le¢n;Burgos;Orbaneja Riopico;42,36023;-3,583582;911,2252;220;125;95
Castilla Le¢n;Burgos;Padilla de Abajo;42,40781;-4,176731;798,9708;90;55;35
Castilla Le¢n;Burgos;Padilla de Arriba;42,43821;-4,194777;830,7649;84;54;30
Castilla Le¢n;Burgos;Padrones de Bureba;42,7049;-3,532114;781,8212;45;26;19
Castilla Le¢n;Burgos;Palacios de la Sierra;41,96359;-3,126263;1065,092;858;446;412
Castilla Le¢n;Burgos;Palacios de Riopisuerga;42,34376;-4,256989;777,4734;35;17;18
Castilla Le¢n;Burgos;Palazuelos de la Sierra;42,21181;-3,459925;1107,045;67;40;27
Castilla Le¢n;Burgos;Palazuelos de Mu§¢;42,19647;-3,988374;786,5093;60;34;26
Castilla Le¢n;Burgos;Pampliega;42,20591;-3,987587;807,5865;381;199;182
Castilla Le¢n;Burgos;Pancorbo;42,63524;-3,110586;631,5779;538;292;246
Castilla Le¢n;Burgos;Pardilla;41,55063;-3,710233;883,9958;130;73;57
Castilla Le¢n;Burgos;Partido de la Sierra en Tobalina;42,71667;-3,233333;919,4133;85;50;35
Castilla Le¢n;Burgos;Pedrosa de Duero;41,71184;-3,987098;840,3677;521;303;218
Castilla Le¢n;Burgos;Pedrosa de R°o Èrbel;42,40971;-3,821324;844,2335;257;156;101
Castilla Le¢n;Burgos;Pedrosa del P†ramo;42,44224;-3,972769;943,9882;89;49;40
Castilla Le¢n;Burgos;Pedrosa del Pr°ncipe;42,24924;-4,198915;772,689;183;95;88
Castilla Le¢n;Burgos;Pe§aranda de Duero;41,68876;-3,480297;863,9903;578;299;279
Castilla Le¢n;Burgos;Peral de Arlanza;42,07603;-4,077512;774,4771;167;92;75
Castilla Le¢n;Burgos;PiÇrnigas;42,59008;-3,412804;742,1521;52;34;18
Castilla Le¢n;Burgos;Pineda de la Sierra;42,21596;-3,29737;1207,499;113;64;49
Castilla Le¢n;Burgos;Pineda Trasmonte;41,90881;-3,695628;951,4017;146;87;59
Castilla Le¢n;Burgos;Pinilla de los Barruecos;41,91891;-3,305166;1078,882;109;61;48
Castilla Le¢n;Burgos;Pinilla de los Moros;42,06802;-3,327312;972,2211;42;27;15
Castilla Le¢n;Burgos;Pinilla Trasmonte;41,87348;-3,620033;935,5198;198;112;86
Castilla Le¢n;Burgos;Poza de la Sal;42,66542;-3,501162;756,3673;338;163;175
Castilla Le¢n;Burgos;Pr†danos de Bureba;42,5023;-3,347642;757,1823;55;36;19
Castilla Le¢n;Burgos;Pradoluengo;42,3237;-3,200787;967,4692;1471;724;747
Castilla Le¢n;Burgos;Presencio;42,18675;-3,901966;812,668;213;119;94
Castilla Le¢n;Burgos;Puebla de Arganz¢n (La);42,76628;-2,831537;481,9095;529;285;244
Castilla Le¢n;Burgos;Puentedura;42,04167;-3,582952;863,5676;116;71;45
